ACG.L,ACG.R,AMYG.L,AMYG.R,DCG.L,DCG.R,INS.L,INS.R,ITG.L,ITG.R,MFG.L,MFG.R,MTG.L,MTG.R,ORBmid.L,ORBmid.R,ORBsupmed.L,ORBsupmed.R,PCG.L,PCG.R,PCUN.L,PCUN.R,PHG.L,PHG.R,STG.L,STG.R,response
-0.045163062,-0.042493797,0.037333853,0.029933235,-0.024046635,-0.040813759,-0.009986503,-0.0277513,-0.027567711,-0.013130006,-0.029403811,-0.047813457,-0.016163155,-0.014909317,-0.016232061,-0.011070081,0.007179288,-0.030319875,-0.06793348,-0.039169946,-0.038554444,-0.090389796,-0.005703103,0.004989499,-0.014947046,-0.018655237,1.46
-0.027113633,-0.033973276,0.038903368,0.053465743,-0.045984771,-0.036189519,0.012386472,-0.000893104,0.001792229,0.023892949,-0.03080545,-0.026057029,-0.035188534,-0.034246846,0.007416553,0.010720713,0.009431739,-0.043038186,-0.023184452,-0.012541608,-0.059822548,-0.102274092,0.004938314,0.000654555,-0.033877916,-0.03635831,1.7
-0.027782065,-0.018667302,0.024994251,0.030251987,-0.008288685,-0.004682731,-0.013802333,-0.023471264,-0.000718469,0.035886289,-0.021671648,-0.004413159,-0.034755927,-0.021529843,0.00236836,0.000832356,0.012893298,0.006943196,0.005970729,0.008419346,-0.006833202,0.011537655,-0.004779261,0.00406341,-0.013520225,-0.01593668,1.38
-0.075367156,-0.047313855,-0.000625462,-0.018676933,-0.071128947,-0.05805634,-0.036057214,-0.033874503,-0.04025586,-0.034661678,-0.062659116,-0.0356592,-0.051719625,-0.034462139,-0.01351303,0.01543719,-0.049788591,-0.023445723,-0.031781971,-0.003976776,-0.07539451,-0.055122306,-0.038377913,-0.014285703,-0.038652753,-0.078397735,1.35
-0.122393301,-0.103367759,-0.068168551,-0.043057714,-0.09395519,-0.089307792,-0.068912478,-0.095822571,-0.083649374,-0.081519059,-0.07631717,-0.104952421,-0.086528564,-0.095300668,-0.120678529,-0.153032929,-0.148563514,-0.14246512,-0.105795862,-0.091215881,-0.128898774,-0.160076007,-0.085972774,-0.069627118,-0.094245118,-0.117407409,1.67
-0.015480242,-0.018329942,0.025093794,0.035217316,-0.021572999,-0.025304601,0.003920479,-0.005160773,0.000635333,0.033245067,-0.033274024,-0.015466077,-0.040818796,-0.005649173,0.03036419,0.093785982,0.017086015,0.02435747,0.013826827,0.024472847,-0.059000239,-0.052911018,0.004267793,0.009304903,-0.035664618,-0.035073451,1.85
0.004675027,-0.011553574,0.05433661,0.039098296,0.006445481,0.001118534,0.023775999,0.016479448,0.03342136,0.089746963,0.019663115,0.011864058,0.007251426,0.028542833,0.110772021,0.066545152,0.070697741,0.054552285,0.040267524,0.047296169,0.022709441,0.006891746,0.025841377,0.033602885,0.017739072,0.005387659,1.84
-0.033048069,-0.035886903,0.047181731,0.051946777,-0.050493849,-0.036305999,-0.004159859,-0.023828634,-0.020282079,0.070741724,0.004387926,0.041988691,-0.03391524,0.00865304,-0.012561402,0.098295589,0.084712437,0.032176873,-0.034804355,0.009580574,-0.099326515,-0.088044719,0.020612557,0.045295888,-0.052057479,-0.052123809,1.6
-0.049836645,-0.047583275,0.007730873,-0.004026906,-0.074365074,-0.079904192,-0.01703115,-0.019488366,-0.036341595,0.002877285,-0.049405777,-0.04645455,-0.036311016,-0.001989864,-0.084593925,-0.058624704,0.011368778,-0.015657482,-0.082793519,-0.074175771,-0.11278345,-0.103119453,-0.047295386,-0.028254343,-0.003497642,-0.006166095,1.85
-0.033010691,-0.028346839,-0.005010918,-0.005278896,-0.047676995,-0.0415086,-0.042996658,-0.030210444,-0.072903782,-0.028716043,-0.066748657,-0.047906645,-0.074453219,-0.044478264,-0.070973309,-0.006320459,-0.018526224,-0.033574165,-0.009445891,-0.009538065,-0.085415277,-0.068430593,-0.048756013,-0.046272095,-0.091968286,-0.076069335,1.67
-0.038833083,-0.029720929,0.018423116,0.033545667,-0.032860241,-0.038894343,-0.020773997,-0.031441444,-0.005895916,0.016276198,-0.006552955,-0.025222857,-0.015784379,0.001677527,0.006063617,0.004292404,0.017309022,0.000132774,0.016775482,0.017434387,-0.041298899,-0.018716097,0.004140565,0.004087357,-0.01567342,-0.043732203,2.39
-0.050342502,-0.063889382,0.038447369,0.025864683,-0.034919161,-0.037440645,-0.017177268,-0.049675486,0.005377987,0.037634948,-0.021379463,-0.062805648,-0.030797686,-0.039273186,0.019663521,-0.025701179,-0.012705755,-0.028679509,-0.029897405,-0.022887038,-0.022252004,-0.039655893,0.022157858,0.014858035,-0.021593956,-0.036094378,1.59
-0.03583825,-0.029193936,0.023590757,0.006874524,-0.049982042,-0.037786225,-0.012657113,-0.034355314,-0.036686179,9.07E-05,-0.053685622,-0.031899891,-0.0564808,-0.050872784,-0.01228355,-0.003188039,-0.002382446,-0.002571018,-0.023162783,-0.010414036,-0.061014875,-0.064226761,-0.006423262,-0.002373183,-0.055257733,-0.074995429,1.69
-0.063772946,-0.05590685,-4.93E-05,-0.005685918,-0.044540794,-0.038808606,-0.01764411,-0.030671857,-0.037434595,0.005571332,-0.026214744,-0.028319566,-0.04400539,-0.029868561,-0.027339378,-0.030150068,-0.049791092,-0.056009594,-0.055799929,-0.038636353,-0.051601448,-0.040226424,-0.022410177,-0.000510334,-0.049357757,-0.056736923,1.31
-0.013665541,-0.015075504,0.096660539,0.069674266,0.013206002,0.009144673,0.043980355,0.0350202,0.051536439,0.071400632,0.050850912,0.041176977,0.032386796,0.033431274,0.093712636,0.030327392,0.028134913,-0.006819511,0.005095643,-0.014161837,0.046107413,0.025024069,0.051627835,0.059730238,0.024536545,0.027788664,1.65
